Username,Comment,Cleaning
@SalehBangko,Daerah Aceh laut biru 25.00,daerah aceh laut biru
@SalehBangko,110 laut biru pak,laut biru pak
@SalehBangko,Dari balikpapan 21.00 laut biru,dari balikpapan laut biru
@SalehBangko,Masuk lagi laut biru 27.00 jumlahnya,masuk lagi laut biru jumlahnya
@SalehBangko,Kalimantan Timur daerah bontang 57.00,kalimantan timur daerah bontang
@SalehBangko,4822 partai gerindra jumlahnya 57.00,partai gerindra jumlahnya
@SalehBangko,Misinya laut biru,misinya laut biru
@SalehBangko,Bantuan pembangunan bang untuk yg punya lahan bang,bantuan pembangunan bang untuk yg punya lahan bang
@wisyoyoyo4276,Sedihg 16,sedihg
@yopinacantik3756,Berarti belum keluar anggota DPR-RI terbanyak,berarti belum keluar anggota dprri terbanyak
@yopinacantik3756,Koalisi terbanyak,koalisi terbanyak
@RagatOke2015,Anies Baswedan caimin menang,anies baswedan caimin menang
@user-ip8fp2rd2c,Alhmdulillah alhmdulillah ya allah amiiin.,alhmdulillah alhmdulillah ya allah amiiin
@hartaman6995,Memang 01 angkuh  dan haus jabatan dari bahasanya,memang angkuh dan haus jabatan dari bahasanya
@hrnet790,"quick count pembohongan publik yang benar hasil KPU 20 maret 2024  jangan mau di bohongi quick count pakai akal waras,,,",quick count pembohongan publik yang benar hasil kpu maret jangan mau di bohongi quick count pakai akal waras
@user-rs5gr9jn7l,02 matap mat terus ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,matap mat terus
@assyifa8165,Alhamdulillah gusti.... Pak prabowo unggul 1 putaran 🤲,alhamdulillah gusti pak prabowo unggul putaran
@boynatamegelli7258,"Bagi presiden selanjutnya ,tolong kemanan negeri ini lebih diperbaiki karena banyak anak kosong yang merusak kesatuan yang suka menumpah darahkan saudaranya setanah air,sangat meresahkan keamanan negeri ini rapuh ,serapuh pondasi negeri yang banyak digerogoti koruptor",bagi presiden selanjutnya tolong kemanan negeri ini lebih diperbaiki karena banyak anak kosong yang merusak kesatuan yang suka menumpah darahkan saudaranya setanah airsangat meresahkan keamanan negeri ini rapuh serapuh pondasi negeri yang banyak digerogoti koruptor
