Username,Comment,Stemming,Translated,Sentiment_polarity,Sentiment
@SalehBangko,Daerah Aceh laut biru 25.00,daerah aceh laut biru,aceh blue sea area,0.0,neutral
@SalehBangko,110 laut biru pak,laut biru,blue sea,0.0,neutral
@SalehBangko,Dari balikpapan 21.00 laut biru,balikpapan laut biru,Balikpapan blue sea,0.0,neutral
@SalehBangko,Masuk lagi laut biru 27.00 jumlahnya,masuk laut biru,enter the blue sea,0.0,neutral
@SalehBangko,Kalimantan Timur daerah bontang 57.00,kalimantan timur daerah bontang,East Kalimantan Bontang area,0.0,neutral
@SalehBangko,4822 partai gerindra jumlahnya 57.00,partai gerindra,Gerindra Party,0.0,neutral
@SalehBangko,Misinya laut biru,misi laut biru,blue sea mission,0.0,neutral
@SalehBangko,Bantuan pembangunan bang untuk yg punya lahan bang,bantu bangun abang lahan abang,help wake up brother land brother,0.0,neutral
@wisyoyoyo4276,Sedihg 16,sedihg,sadg,0.0,neutral
@yopinacantik3756,Berarti belum keluar anggota DPR-RI terbanyak,anggota dprri,DPR member,0.0,neutral
@yopinacantik3756,Koalisi terbanyak,koalisi,coalition,0.0,neutral
@RagatOke2015,Anies Baswedan caimin menang,anies baswedan caimin menang,Anies Baswedan and Caimin won,0.0,neutral
@user-ip8fp2rd2c,Alhmdulillah alhmdulillah ya allah amiiin.,alhmdulillah alhmdulillah allah amin,Alhamdulillah Alhamdulillah God Amen,0.0,neutral
@hartaman6995,Memang 01 angkuh  dan haus jabatan dari bahasanya,angkuh haus jabat bahasa,arrogantly thirsty for language,0.0,neutral
@hrnet790,"quick count pembohongan publik yang benar hasil KPU 20 maret 2024  jangan mau di bohongi quick count pakai akal waras,,,",quick count bohong publik hasil kpu maret bohong quick count pakai akal waras,quick count lied to the public KPU March results lied quick count using common sense,0.09166666666666666,positive
@user-rs5gr9jn7l,02 matap mat terus ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,matap mat,matap food,0.0,neutral
@assyifa8165,Alhamdulillah gusti.... Pak prabowo unggul 1 putaran 🤲,alhamdulillah gusti prabowo unggul putar,"Thank God, Gusti Prabowo won the turn",0.0,neutral
