Timestamp,Username,VideoID,Comment,Date,Cleaning,Normalisasi,Tokenization,Stopwords,Stemming
2024-06-25T14:46:41Z,@SalehBangko,Ua21uPr1eRc,Daerah Aceh laut biru 25.00,2024-06-25T14:46:41Z,daerah aceh laut biru,daerah aceh laut biru,"['daerah', 'aceh', 'laut', 'biru']","['daerah', 'aceh', 'laut', 'biru']",daerah aceh laut biru
2024-06-25T14:19:03Z,@SalehBangko,Ua21uPr1eRc,110 laut biru pak,2024-06-25T14:19:03Z,laut biru pak,laut biru pak,"['laut', 'biru', 'pak']","['laut', 'biru']",laut biru
2024-06-25T14:15:02Z,@SalehBangko,Ua21uPr1eRc,Dari balikpapan 21.00 laut biru,2024-06-25T14:15:02Z,dari balikpapan laut biru,dari balikpapan laut biru,"['dari', 'balikpapan', 'laut', 'biru']","['balikpapan', 'laut', 'biru']",balikpapan laut biru
2024-06-25T14:14:28Z,@SalehBangko,Ua21uPr1eRc,Masuk lagi laut biru 27.00 jumlahnya,2024-06-25T14:14:28Z,masuk lagi laut biru jumlahnya,masuk lagi laut biru jumlahnya,"['masuk', 'lagi', 'laut', 'biru', 'jumlahnya']","['masuk', 'laut', 'biru']",masuk laut biru
2024-06-25T14:04:06Z,@SalehBangko,Ua21uPr1eRc,Kalimantan Timur daerah bontang 57.00,2024-06-25T14:04:06Z,kalimantan timur daerah bontang,kalimantan timur daerah bontang,"['kalimantan', 'timur', 'daerah', 'bontang']","['kalimantan', 'timur', 'daerah', 'bontang']",kalimantan timur daerah bontang
2024-06-25T14:03:04Z,@SalehBangko,Ua21uPr1eRc,4822 partai gerindra jumlahnya 57.00,2024-06-25T14:03:04Z,partai gerindra jumlahnya,partai gerindra jumlahnya,"['partai', 'gerindra', 'jumlahnya']","['partai', 'gerindra']",partai gerindra
2024-06-25T13:39:56Z,@SalehBangko,Ua21uPr1eRc,Misinya laut biru,2024-06-25T13:39:56Z,misinya laut biru,misinya laut biru,"['misinya', 'laut', 'biru']","['misinya', 'laut', 'biru']",misi laut biru
2024-06-25T13:39:17Z,@SalehBangko,Ua21uPr1eRc,Bantuan pembangunan bang untuk yg punya lahan bang,2024-06-25T13:39:17Z,bantuan pembangunan bang untuk yg punya lahan bang,bantuan pembangunan abang untuk yang punya lahan abang,"['bantuan', 'pembangunan', 'abang', 'untuk', 'yang', 'punya', 'lahan', 'abang']","['bantuan', 'pembangunan', 'abang', 'lahan', 'abang']",bantu bangun abang lahan abang
2024-04-30T04:22:02Z,@wisyoyoyo4276,Ua21uPr1eRc,Sedihg 16,2024-04-30T04:22:02Z,sedihg,sedihg,['sedihg'],['sedihg'],sedihg
2024-04-05T02:14:04Z,@yopinacantik3756,Ua21uPr1eRc,Berarti belum keluar anggota DPR-RI terbanyak,2024-04-05T02:14:04Z,berarti belum keluar anggota dprri terbanyak,berarti belum keluar anggota dprri terbanyak,"['berarti', 'belum', 'keluar', 'anggota', 'dprri', 'terbanyak']","['anggota', 'dprri']",anggota dprri
2024-04-05T02:06:03Z,@yopinacantik3756,Ua21uPr1eRc,Koalisi terbanyak,2024-04-05T02:06:03Z,koalisi terbanyak,koalisi terbanyak,"['koalisi', 'terbanyak']",['koalisi'],koalisi
2024-03-18T13:53:06Z,@RagatOke2015,Ua21uPr1eRc,Anies Baswedan caimin menang,2024-03-18T13:53:06Z,anies baswedan caimin menang,anies baswedan caimin menang,"['anies', 'baswedan', 'caimin', 'menang']","['anies', 'baswedan', 'caimin', 'menang']",anies baswedan caimin menang
2024-03-18T01:37:03Z,@user-ip8fp2rd2c,Ua21uPr1eRc,Alhmdulillah alhmdulillah ya allah amiiin.,2024-03-18T01:37:03Z,alhmdulillah alhmdulillah ya allah amiiin,alhmdulillah alhmdulillah ya allah amin,"['alhmdulillah', 'alhmdulillah', 'ya', 'allah', 'amin']","['alhmdulillah', 'alhmdulillah', 'allah', 'amin']",alhmdulillah alhmdulillah allah amin
2024-03-17T05:07:30Z,@hartaman6995,Ua21uPr1eRc,Memang 01 angkuh  dan haus jabatan dari bahasanya,2024-03-17T05:07:30Z,memang angkuh dan haus jabatan dari bahasanya,memang angkuh dan haus jabatan dari bahasanya,"['memang', 'angkuh', 'dan', 'haus', 'jabatan', 'dari', 'bahasanya']","['angkuh', 'haus', 'jabatan', 'bahasanya']",angkuh haus jabat bahasa
2024-03-14T15:26:03Z,@hrnet790,Ua21uPr1eRc,"quick count pembohongan publik yang benar hasil KPU 20 maret 2024  jangan mau di bohongi quick count pakai akal waras,,,",2024-03-14T15:28:34Z,quick count pembohongan publik yang benar hasil kpu maret jangan mau di bohongi quick count pakai akal waras,quick count pembohongan publik yang benar hasil kpu maret jangan mau di bohongi quick count pakai akal waras,"['quick', 'count', 'pembohongan', 'publik', 'yang', 'benar', 'hasil', 'kpu', 'maret', 'jangan', 'mau', 'di', 'bohongi', 'quick', 'count', 'pakai', 'akal', 'waras']","['quick', 'count', 'pembohongan', 'publik', 'hasil', 'kpu', 'maret', 'bohongi', 'quick', 'count', 'pakai', 'akal', 'waras']",quick count bohong publik hasil kpu maret bohong quick count pakai akal waras
2024-03-09T10:21:16Z,@user-rs5gr9jn7l,Ua21uPr1eRc,02 matap mat terus ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,2024-03-09T10:21:16Z,matap mat terus,matap mat terus,"['matap', 'mat', 'terus']","['matap', 'mat']",matap mat
2024-03-06T06:50:01Z,@assyifa8165,Ua21uPr1eRc,Alhamdulillah gusti.... Pak prabowo unggul 1 putaran 🤲,2024-03-06T06:50:01Z,alhamdulillah gusti pak prabowo unggul putaran,alhamdulillah gusti pak prabowo unggul putaran,"['alhamdulillah', 'gusti', 'pak', 'prabowo', 'unggul', 'putaran']","['alhamdulillah', 'gusti', 'prabowo', 'unggul', 'putaran']",alhamdulillah gusti prabowo unggul putar
